signal,dataset,group,source_file,n_samples,mean,std,median,iqr,skewness,excess_kurtosis,diff_std,roughness,autocorr_lag1,autocorr_lag5,autocorr_lag10,autocorr_lag20,autocorr_lag50,autocorr_lag100,spectral_entropy,dominant_frequency,spectral_energy_0.00_0.01,spectral_energy_0.01_0.05,spectral_energy_0.05_0.20,spectral_energy_0.20_0.50,zero_crossing_rate,permutation_entropy_m5,dfa_exponent,nonlinear_prediction_error
NLM_sac_ascf_alpha,NLM,UNASSIGNED,NLM_sac_ascf_alpha.txt,32772,5812.198464117174,2493.351304202611,5084.202359000001,3278.2760385,2.6924845103884874,16.78275986040339,225.54044138805403,0.09045674430550542,0.995908786954248,0.9686154611756521,0.9531092879487073,0.9278312618166793,0.8502324077698162,0.754582947552696,0.3187895143537535,6.102770657878677e-05,0.9586920403699905,0.027834647273012065,0.012179146020062174,0.0012940278891343908,0.019895639437307374,0.8701350156640733,1.1739195358822987,0.13768367390023448
NLM_sac_ascf_beta,NLM,UNASSIGNED,NLM_sac_ascf_beta.txt,30124,18844.075639224306,10786.368156746637,16659.761665500002,15946.049933499997,0.6338187212029859,-0.4117491891140217,458.62155194659505,0.04251862585088358,0.9990961105578225,0.9884170755113177,0.9749262213004728,0.9398481708084946,0.7999399684175204,0.6403185522257261,0.41705949663828557,6.639224538573895e-05,0.9787914124816627,0.01763361269273985,0.0034432702313432198,0.00013168610163479715,0.013478073233077715,0.7689663729428674,1.386334753510668,0.12217115593981186
NLM_sac_ascf_delta,NLM,UNASSIGNED,NLM_sac_ascf_delta.txt,34051,13828.786530236233,3781.1989138689464,13713.878442,4780.707434,0.4989913649932066,0.5579225965751218,381.1893156875937,0.1008117595425728,0.994918095665675,0.9418813082225602,0.9101046806847188,0.8591379049596288,0.6809041215647297,0.3833226644603838,0.5263025965520374,5.873542627235617e-05,0.9170884626162173,0.058077701278254935,0.024078961917909387,0.000754874187618198,0.030954478707782673,0.7601531052831985,1.205896146371397,0.25583230621606917
NLM_sac_ascf_gamma,NLM,UNASSIGNED,NLM_sac_ascf_gamma.txt,33269,18353.39297761772,1743.1410485222136,18260.850894,2398.997729999999,0.3039857869091797,0.054837317450965095,329.01049288363646,0.18874576624912962,0.9821775746865861,0.8322909035203526,0.7067306446470139,0.508435733947328,0.30796917584293215,0.33645877734850843,0.5817887379474296,0.0001502900598154438,0.6091388489650511,0.32727339856300103,0.05890502243531699,0.004682730036630762,0.05512805097992064,0.8081161169742355,1.0445766413716726,0.36996947422097964
NLM_sac_ascf_kai,NLM,UNASSIGNED,NLM_sac_ascf_kai.txt,18801,9682.171735969949,823.3775115787676,9633.686808,1095.7068819999986,0.28665583335261824,0.3194380203618037,505.7404098217135,0.6142266490276039,0.8109360183046412,0.11788334045373686,-0.008758714776861657,0.03139336641513001,0.023247141838342797,0.027902471398823694,0.8367993610733869,0.0002659433008882506,0.13019541497549633,0.4195554458405169,0.36532290327090877,0.0849262359130782,0.20053191489361702,0.9205531613562824,0.7202549999712734,0.6979012797586879
NLM_sac_ascf_kappa,NLM,UNASSIGNED,NLM_sac_ascf_kappa.txt,33446,13219.467951295372,8520.277161119593,11279.063646,17219.489111000003,0.1571485126679884,-1.66970229407366,331.28357386889405,0.03888178372654749,0.9992440830815246,0.987867477585307,0.968497021816918,0.92787911734569,0.8293380569742189,0.6482758436553675,0.45498235157927025,0.0007175745978592358,0.9641473975961838,0.03331028383738365,0.002459579232024943,8.273878610427876e-05,0.0037673792794139633,0.7731643996467215,1.4330604496589263,0.08240482611809172
NLM_sac_ascf_lambda,NLM,UNASSIGNED,NLM_sac_ascf_lambda.txt,33079,14338.092991060672,10554.313925949135,14732.400588,21272.1135535,0.15070281932010932,-1.5505817075027144,310.3311201763377,0.029403248979864894,0.9995677285052365,0.9937779881520805,0.98464322513174,0.9663168308976937,0.9194733435240318,0.8849365473719599,0.3068850007887883,0.00012092263974122555,0.9824461691189815,0.016038810302143866,0.001445700425518108,6.93201533567432e-05,0.0027813047947276136,0.8281623455959212,1.4684297745327826,0.07190590272670606
NLM_sac_ascf_mu,NLM,UNASSIGNED,NLM_sac_ascf_mu.txt,13022,29431.04447780518,10872.904750645934,30693.039232000003,19965.449008499992,-0.37651810006112985,-1.1669690589880433,428.18663570100045,0.0393810711599918,0.9992244665291592,0.9893462852747218,0.9744526992562095,0.941172365018747,0.8497535294820259,0.8227241340956385,0.3087179767918803,7.679311933650745e-05,0.9718126805231824,0.02542282129345932,0.0026458500163845863,0.00011859277967018874,0.010751862376161585,0.7691472871566584,1.4130926171560765,0.03931125263610081
NLM_sac_ascf_nu,NLM,UNASSIGNED,NLM_sac_ascf_nu.txt,21601,14301.210211935604,3790.859824274028,14026.648992,2909.266668,1.739550463428566,5.622032653205721,494.3866481721205,0.1304154390005171,0.9914945720271731,0.8968174678152707,0.8186900266395698,0.6848574587217963,0.31338885651103465,0.2188742341304718,0.5976924665692496,0.0011573538262117495,0.8213439894778557,0.14063800783112362,0.03675575222757564,0.0012622504634448176,0.055,0.7917659908877661,1.1773864636788038,0.2032006812946383
NLM_sac_ascf_phi,NLM,UNASSIGNED,NLM_sac_ascf_phi.txt,33124,10730.253814247888,953.0631614450908,10661.667744499999,1203.0500570000004,0.4990485383592658,0.8016406268983016,186.97728997171004,0.1961856228796043,0.9807419193518966,0.8325510975070551,0.7567950396206561,0.6567032142051302,0.4957457700472569,0.4014022256925454,0.5776952044363394,3.0189590629151068e-05,0.7593065454366059,0.16665775848038997,0.06924957890557623,0.004786112029886959,0.06599643752075597,0.8144186066360632,1.0466301331220593,0.36346418339378983
